date,heart_rate,steps,sleep_hours,is_true_anomaly,flag_threshold_hr,flag_threshold_steps,flag_threshold_sleep,flag_prophet_hr,flag_prophet_steps,flag_prophet_sleep,flag_cluster,cluster_label,anomaly_reasons,is_anomaly
2025-09-03,61.6,7633.0,6.6,False,False,False,False,False,False,False,False,0,,False
2025-09-04,62.7,9320.0,6.64,False,False,False,False,False,False,False,False,0,,False
2025-09-05,63.2,5873.0,7.48,False,False,False,False,False,False,False,False,0,,False
2025-09-06,61.9,7812.0,7.36,False,False,False,False,False,False,False,False,0,,False
2025-09-07,63.5,5868.0,7.41,False,False,False,False,False,False,False,False,0,,False
2025-09-08,27.754139284313496,6675.0,7.76,True,True,False,False,True,False,False,True,-1,thr_hr;pr_hr;cluster_multi,True
2025-09-09,64.7,7818.0,7.04,False,False,False,False,False,False,False,False,0,,False
2025-09-10,63.9,6893.0,7.49,False,False,False,False,False,False,False,False,0,,False
2025-09-11,69.6,5874.0,6.94,False,False,False,False,False,False,False,False,0,,False
2025-09-12,69.2,6061.0,7.38,False,False,False,False,False,False,False,False,0,,False
2025-09-13,61.4,7075.0,7.15,False,False,False,False,False,False,False,False,0,,False
2025-09-14,69.7,5848.0,7.33,False,False,False,False,False,False,False,False,0,,False
2025-09-15,69.1,6509.0,7.67,False,False,False,False,False,False,False,False,0,,False
2025-09-16,65.7,6279.0,6.87,False,False,False,False,False,False,False,False,0,,False
2025-09-17,71.7,5632.0,8.65,False,False,False,False,False,False,True,False,0,pr_sleep,True
2025-09-18,73.2,7783.0,6.82,False,False,False,False,False,False,False,False,0,,False
2025-09-19,73.6,6494.0,6.72,False,False,False,False,False,False,False,False,0,,False
2025-09-20,114.95586128081834,4292.0,8.16,True,False,False,False,True,False,True,True,-1,pr_hr;pr_sleep;cluster_multi,True
2025-09-21,67.7,5991.0,7.96,False,False,False,False,False,False,False,False,0,,False
2025-09-22,71.2,5248.0,7.87,False,False,False,False,False,False,False,False,0,,False
2025-09-23,72.7,6401.0,7.88,False,False,False,False,False,False,False,False,0,,False
2025-09-24,67.9,5033.0,7.49,False,False,False,False,False,False,False,False,0,,False
2025-09-25,68.4,5530.0,6.95,False,False,False,False,False,False,False,False,0,,False
2025-09-26,64.1,5988.0,7.53,False,False,False,False,False,False,False,False,0,,False
2025-09-27,64.2,6245.0,1.05,True,False,False,True,False,False,True,True,-1,thr_sleep;pr_sleep;cluster_multi,True
2025-09-28,69.6,4568.0,8.03,False,False,False,False,False,False,False,False,0,,False
2025-09-29,69.6,5244.0,7.32,False,False,False,False,False,False,False,False,0,,False
2025-09-30,67.2,5122.0,6.89,False,False,False,False,False,False,False,False,0,,False
2025-10-01,68.3,4978.0,7.15,False,False,False,False,False,False,False,False,0,,False
2025-10-02,64.0,6918.0,7.55,False,False,False,False,False,False,False,False,0,,False
2025-10-03,62.2,5843.0,6.92,False,False,False,False,False,False,False,False,0,,False
2025-10-04,62.9,4531.0,6.72,False,False,False,False,False,False,False,False,0,,False
2025-10-05,67.6,6301.0,7.31,False,False,False,False,False,False,False,False,0,,False
2025-10-06,62.7,7300.0,7.26,False,False,False,False,False,False,False,False,0,,False
2025-10-07,65.0,6470.0,6.76,False,False,False,False,False,False,False,False,0,,False
2025-10-08,53.8,4477.0,6.73,False,False,False,False,False,False,False,False,0,,False
2025-10-09,63.3,5360.0,7.1,False,False,False,False,False,False,False,False,0,,False
2025-10-10,61.3,6822.0,6.03,False,False,False,False,False,False,False,False,0,,False
2025-10-11,61.0,5310.0,6.01,False,False,False,False,False,False,False,False,0,,False
2025-10-12,60.0,6304.0,6.37,False,False,False,False,False,False,False,False,0,,False
2025-10-13,53.3,6647.0,6.63,False,False,False,False,False,False,False,False,0,,False
2025-10-14,58.7,24891.873452590615,6.9,True,False,False,False,False,True,False,True,-1,pr_steps;cluster_multi,True
2025-10-15,60.7,6150.0,7.55,False,False,False,False,False,False,False,False,0,,False
2025-10-16,65.2,3696.0,7.15,False,False,False,False,False,False,False,False,0,,False
2025-10-17,60.0,5564.0,6.5,False,False,False,False,False,False,False,False,0,,False
2025-10-18,59.6,6279.0,6.56,False,False,False,False,False,False,False,False,0,,False
2025-10-19,61.6,5584.0,5.94,False,False,False,False,False,False,False,False,0,,False
2025-10-20,65.7,7991.0,6.51,False,False,False,False,False,False,False,False,0,,False
2025-10-21,66.0,5645.0,6.34,False,False,False,False,False,False,False,False,0,,False
2025-10-22,62.4,6542.0,6.7,False,False,False,False,False,False,False,False,0,,False
2025-10-23,69.3,7105.0,6.0,False,False,False,False,False,False,False,False,0,,False
